Owner,Total Capacity (ttpa),Number of Plants
Millcon Steel PCL,800.0,1
Chubu Steel Plate Co Ltd,800.0,1
Malaysia Steel Works (KL) Bhd,800.0,1
Sentuo Steel Ltd,800.0,1
Hwanyoung Steel Industries Co Ltd,800.0,1
Ghaenat Steel Complex,800.0,1
Thy-Marcinelle SA,800.0,1
ArcelorMittal Hunedoara SA,800.0,1
Sidenor Steel Industry SA,800.0,1
Hmisho Steel SA,800.0,1
Nucor Steel Kankakee Inc,794.0,1
Hezhou Xindu Sanyuan Casting Co Ltd,780.0,1
NLMK Indiana LLC,770.0,1
Mono Steel (India) Ltd,770.0,1
Hezhou Zhaoxin Hardware Products Co Ltd,750.0,1
Arcelormittal Warszawa SP zoo,750.0,1
Hebei New Wuan Iron and Steel Group Xin Hui Metallurgy Co Ltd,750.0,1
Global Steel Wire SA,750.0,1
Van Company for Industrial Investment and General Trading,750.0,1
Empresa Siderurgica del Peru SAA,750.0,1
Optimus Steel LLC,750.0,1
Sidenor Aceros Especiales SLU,740.0,1
Al Anmaa for Construction Materials Production Ltd,735.0,1
Asil Celik Sanayi ve Ticaret AŞ,730.0,1
Novorossiysk Rolling Plant LLC,730.0,1
Saarstahl AG,730.0,1
Chow Steel Industries PCL,730.0,1
SIJ Acroni doo,726.0,1
Vallourec Star LP,725.0,1
Grupo Acerero SA de CV,725.0,1
Jiangyin Xicheng Steel Co Ltd,720.0,1
Fujian Fuxin Special Steel Co Ltd,720.0,1
Voestalpine Stahl Donawitz GmbH,720.0,1
Stahl Gerlafingen AG,720.0,1
Shyeh Sheng Fuat Steel & Iron Works Co Ltd,720.0,1
Sam Montereau SAS,720.0,1
ALPA - Aciéries et Laminoirs de Paris SAS,700.0,1
Yun County Rongfeng Rolling Mill Factory,700.0,1
Sohar Steel LLC,700.0,1
Hellenic Halyvourgia SA,700.0,1
Tangshan Yutian Jinzhou Industry Co Ltd,700.0,1
Chongqing Yonghang Steel Group Co Ltd,700.0,1
Dalmine SpA,700.0,1
Yamato Steel Co Ltd,700.0,1
Megasa Siderurgica SL,700.0,1
Shaanxi Hanzhong Iron & Steel Group Co,700.0,1
Siderpotenza SpA,700.0,1
Sıddık Kardeşler Haddecilik Sanayi Ticaret LŞ,690.0,1
Alton Steel Inc,680.0,1
Pan Gang Group Sichuan Changcheng Special Steel Co Ltd,669.0,1
Godawari Power and Ispat Ltd,659.0,1
Georgsmarienhuette GmbH,650.0,1
Sipar Aceros SA,650.0,1
LNM Group,650.0,1
Swiss Steel Holding AG,650.0,1
Ivaco Rolling Mills 2004 LP,650.0,1
Hospet Steels Ltd,650.0,1
ORI Martin - Acciaieria e Ferriera di Brescia SpA,650.0,1
Benteler Steel/Tube GmbH,650.0,1
Lianyungang Huale Alloy Group Co Ltd,621.0,1
Nakayama Steel Works Ltd,600.0,1
Bangkok Steel Industry PCL,600.0,1
Acciaierie di Calvisano SpA,600.0,1
Corrugados Getafe SL,600.0,1
Fujian Dingxin Industry Co Ltd,600.0,1
Iran Alloy Steel Co,600.0,1
Rio Tinto Iron and Titanium Canada Inc,600.0,1
Industrie Riunite Odolesi IRO SpA,600.0,1
TY Steel Co Ltd,600.0,1
Deutsche Edelstahlwerke GmbH,600.0,1
SN MAIA Siderurgia Nacional SA,600.0,1
Scaw Metals Group Pty Ltd,600.0,1
Sichuan Gangchen Stainless Steel Co Ltd,600.0,1
F&F Steel,600.0,1
Amreli Steels Ltd,600.0,1
Shaanxi Huaxin Special Steel Group Co Ltd,600.0,1
Dinson Iron & Steel Company Pvt Ltd,600.0,1
E-Top Metal Co Ltd,600.0,1
Hai Kwang Enterprise Corp,600.0,1
Shougang Guiyang SPECIAL Steel Co Ltd,600.0,1
Kam Industries (Nigeria) Ltd,600.0,1
Aco Verde do Brasil SA,600.0,1
Nakayama Steel Products Co Ltd,600.0,1
Arabian Gulf Steel Industries Selling Port LLC,600.0,1
Mughal Iron & Steel Industries Ltd,583.0,1
A. Finkl & Sons Corp,573.0,1
Vietnam - Italy Steel JSC,552.0,1
Makstil AD,550.0,1
Tuyen Quang Iron Steel Co Ltd,550.0,1
Sichuan Shehong Chuanzhong Construction Materials Co Ltd,550.0,1
VNSTEEL Southern Steel Co Ltd,550.0,1
Iton Seine SAS,550.0,1
Hybar LLC,544.0,1
S.C. Silcotub SA,535.0,1
Shakambhari Ispat & Power Ltd,531.0,1
Gerdau SA,530.0,1
Gallantt Ispat Ltd,528.0,1
Sunflag Iron and Steel Co Ltd,525.0,1
Aceros AZA SA,520.0,1
KMK Tempo JSC,504.0,1
Krasnyi Oktyabr' Corporation JSC,501.0,1
Delta Steel Company Ltd,500.0,1
Corporación AG SA,500.0,1
Zhejiang TSINGSHAN IRON&STEEL Co Ltd,500.0,1
Acciaierie di Sicilia SpA,500.0,1
YunNan Province Tiangao Nickel Alloy Co Ltd,500.0,1
Viet Nhat Advanced Steel JSC,500.0,1
VAS Steel Tue Minh JSC,500.0,1
VAS Steel An Hung Tuong LLC,500.0,1
Chengdu Changfeng Steel Group Co Ltd,500.0,1
Vina Kyoei Steel Ltd Co,500.0,1
Guizhou Hexing Metal Products Co Ltd,500.0,1
Ferrostal Labedy SP zoo,500.0,1
Megasider Zaragoza SA,500.0,1
Kishiwada Steel Co Ltd,500.0,1
AlGioshy Steel SAE,500.0,1
Ningbo Haoyang New MATERIALS Techonology Co Ltd,500.0,1
Liaoyang Xinyi Special Steel Co Ltd,500.0,1
Shri Bajrang Power and Ispat Ltd,500.0,1
Anhui Jin'an Stainless Steel Foundry Co Ltd,500.0,1
Asean Steel JSC,500.0,1
StavStal' LLC,500.0,1
"Guangde Xinyuanda Metal Products Co., Ltd. Co Ltd",500.0,1
Metalfer Steel Mill Sremska Mitrovica doo,500.0,1
Huainan Hongtai Steel Limited Liability Co,500.0,1
Lao Cai Cast Iron and Steel,500.0,1
GLGH Steel,500.0,1
Adhunik Metaliks Ltd,500.0,1
Ada - Aceria De Angola SA,500.0,1
Rashmi Metaliks Ltd,498.0,1
Siderurgica Norte Brasil SA,475.0,1
Tembo Steels Uganda Ltd,450.0,1
Agha Steel Industries Ltd,450.0,1
Shyam Steel Industries Ltd,420.0,1
Xinjiang Xin'an Special Steel Co Ltd,400.0,1
Ittehad Steels Pvt Ltd,400.0,1
MSP Steel & Power Ltd,385.0,1
Action Ispat and Power Pvt Ltd,375.0,1
Faizan Steel,365.0,1
Changzhou Dongfang Special Steel Co Ltd,360.0,1
Al Qaryan Steel Co,350.0,1
Arjas Steel Pvt Ltd,334.0,1
Thai Nguyen Iron And Steel JSC,300.0,1
Jai Balaji Industries Ltd,295.0,1
Welspun Corp Ltd,288.0,1
Myanmar Economic Corp,200.0,1
Empresa Siderúrgica del Mutún,200.0,1
Crest Steel and Power Pvt Ltd,130.0,1
Shyam Steel Manufacturing Ltd,126.0,1
Yazdani Steel and Power Ltd,110.0,1
Orissa Sponge Iron and Steel Ltd,101.0,1
Nilachal Iron & Power Ltd,99.0,1
Jai Balaji Jyoti Steels Ltd,92.0,1
NR Ispat and Power Pvt Ltd,48.0,1
SSAB AB,13.0,1
Complejo Siderurgico de Guayana CA,0.0,0
JSW Green Steel Ltd,0.0,0
Lebedinskiy GOK JSC,0.0,0
Mianeh Steel,0.0,0
Corporacion Venezolana de Guayana,0.0,0
Nu-Iron Unlimited,0.0,0
Persian Gulf Saba Steel,0.0,0
Antara Steel Mills Sdn Bhd,0.0,0
CVG Ferrominera Orinoco CA,0.0,0
KIC Metaliks Ltd,0.0,0
Companhia Siderurgica do Cuchi SA,0.0,0
JiLin Province Xinda Steel Co Ltd,0.0,0
Nucor Steel Louisiana LLC,0.0,0
New Zealand Steel Ltd,0.0,0
Sabzevar Pars Steel Complex,0.0,0
Ardakan Steel Complex Co,0.0,0
Wugang Zhongjia Iron & Steel Co Ltd,0.0,0
Fushun HANWANG Direct Reduced Iron Co Ltd,0.0,0
Tata Metaliks Ltd,0.0,0
Ahya Steel Folad Baft Co,0.0,0
Gohar Zamin Iron Ore Co,0.0,0
GuangDong Xinxing Ductile Iron Pipes Co Ltd,0.0,0
Guangxi Liugang Zhongjin Stainless Steel Co Ltd,0.0,0
Vedanta Iron and Steel Ltd,0.0,0
Shanxi Zhongsheng Iron and Steel Co Ltd,0.0,0
Hebei New Wuan Lron and Steel Group Hong Rong Lron and Steel Co Ltd,0.0,0
Hebei PROVINCE Longfengshan Casting Industry Co Ltd,0.0,0
WISCO Group Kunming Steel Co Ltd,0.0,0
Electrosteel Castings Ltd,0.0,0
Atibir Industries Co Ltd,0.0,0
Prakash Sponge Iron and Power Pvt Ltd,0.0,0
Shanxi HUAQIANG Iron and Steel Co Ltd,0.0,0
Henan Fengbao SPECIAL Steel Co Ltd,0.0,0
Shaanxi Lueyang Iron and Steel Co Ltd,0.0,0
Briquetera del Orinoco CA,0.0,0
Wuxi Xinsanzhou Special Steel Co Ltd,0.0,0
Honghe Iron and Steel Co Ltd,0.0,0
Fujian San'an Iron & Steel Co Ltd,0.0,0
Andrade Valladares Engenharia e Construcao Ltda,0.0,0
Hyron Africa,0.0,0
Xinjiang Kunyu Lron & Steel Co Ltd,0.0,0
Ramsarup Industries Ltd,0.0,0
Iranian Ghadir Iron & Steel Co,0.0,0
Lloyds Metals and Energy Ltd,0.0,0
