Owner,Number of Plants
Lingyuan Iron & Steel Co Ltd,1
Linyi Iron and Steel Investment Group Co Ltd,1
Huahong Iron and Steel Products Co Ltd,1
Liuzhou IRON&STEEL Co Ltd,1
Liyang Baorun Steel Co Ltd,1
Luzhou Xinyang Vanadium Titanium Steel Co Ltd,1
Lvliang Jianlong Industrial Co Ltd,1
Maanshan Iron & Steel Co Ltd,1
Nanjing Iron & Steel Co Ltd,1
Nanyang Hanye SPECIAL STREET Co Ltd,1
Ningbo Haoyang New MATERIALS Techonology Co Ltd,1
Ningbo Iron & Steel Co Ltd,1
Ningxia Iron and Steel (Group) Co Ltd,1
Ningxia Jianlong Special Steel Co Ltd,1
Pan Gang Group Sichuan Changcheng Special Steel Co Ltd,1
Panzhihua Steel Group Panzhihua Steel Vanadium Co Ltd,1
Pangang Group Xichang Steel and Vanadium Co Ltd,1
Jilinheng Precision Casting Technology Co Ltd,1
Anyuan Iron & Steel Co Ltd,1
Posco (Zhangjiagang) Stainless Steel Co Ltd,1
Qian'an City Jiujiang Wire Co Ltd,1
Qian'an Zhayi Steel Group Co Ltd,1
Qingdao Special Iron and Steel Co Ltd,1
Qinhuangdao Baigong Steel Co Ltd,1
Qinhuangdao Hongxing Iron & Steel Co Ltd,1
Rizhao Steel Holding Group Co Ltd,1
Rizhao Steel Yingkou Medium Plate Co Ltd,1
Sansteel Minguang Co Ltd Fujian,1
SGIS Songshan Co Ltd,1
Shaanxi Hanzhong Iron & Steel Group Co,1
Shaanxi Huaxin Special Steel Group Co Ltd,1
Shaanxi LONG MEN IRON&STEEL Co Ltd,1
Shaanxi Lueyang Iron and Steel Co Ltd,1
Shangang Group Hanzhong Iron & Steel Co Ltd,1
Shagang Group Anyang Yongxing Iron & Steel Co Ltd,1
Fulun Iron & Steel Co Ltd,1
Shandong Iron and Steel Co Ltd,1
Shandong IRON&STEEL Group Rizhao Co Ltd,1
Shandong Iron & Steel Group Yongfeng Lingang Corp,1
Shandong Luli Steel Co Ltd,1
Shandong Shouguang Juneng SPECIAL Steel Co Ltd,1
Shanghai Meishan Iron & Steel Co Ltd,1
Shanxi Gaoyi Steel Co Ltd,1
Shanxi HONGDA Iron and Steel Group Co Ltd,1
Shanxi HUAQIANG Iron and Steel Co Ltd,1
Hejin Huaxinyuan Steel & Iron Co Ltd,1
Shanxi Jianlong Industrial Co Ltd,1
Shanxi Jinnan Iron and Steel Group Co Ltd,1
Shanxi Meijin Iron and Steel Co Ltd,1
Shanxi Taigang Stainless Steel Co Ltd,1
ShanXi TongCai Industry and Trade Co Ltd,1
Shanxi Tongde Xinghua Special Steel Co Ltd,1
Shanxi Xintai Iron & Steel Co Ltd,1
Shanxi Zhongsheng Iron and Steel Co Ltd,1
Shanxi Zhongyang Iron & Steel Co Ltd,1
Shiheng SPECIAL Steel Group Co Ltd,1
Shijiazhuang Iron and Steel Co Ltd,1
Yun County Rongfeng Rolling Mill Factory,1
Shougang Changzhi IRON& Steel Co Ltd,1
Shougang Guiyang SPECIAL Steel Co Ltd,1
Shougang Jingtang United Iron & Steel Co Ltd,1
Beijing Shougang Co Ltd,1
Shougang Shuicheng Iron & Steel (Group) Co Ltd,1
"Sichuan De Sheng Group, Vanadium and Titanium Co Ltd",1
Sichuan Gangchen Stainless Steel Co Ltd,1
Sichuan Shehong Chuanzhong Construction Materials Co Ltd,1
Sichuan Shengquan Iron and Steel Group Co Ltd,1
Sichuan Ya'an Anshan Iron and Steel Co Ltd,1
Tangshan Donghai Iron and Steel Group Co Ltd,1
Tangshan Donghua Iron & Steel Enterprise Group Co Ltd,1
Tangshan Fengnan District Jing'an Iron and Steel Co Ltd,1
Tangshan Ganglu Iron & Steel Co Ltd,1
Tangshan Guotang Steel Co Ltd,1
Tangshan Heavy Plate Co Ltd,1
Tangshan RUIFENG Steel and Iron (GROUP) Co Ltd,1
Tangshan Songting IRON&STEEL Co Ltd,1
Tangshan Wenfeng Special Steel Co Ltd,1
Tangshan Xinglong Steel Co Ltd,1
Tangshan Yutian Jinzhou Industry Co Ltd,1
Tangshan Zhengfeng Steel Co Ltd,1
Tianjin Iron and Steel Group Co Ltd,1
Tianjin Iron PLANT Co Ltd,1
Tianjin Tiangang UNITED SPECIAL Steel Co Ltd,1
Tianjin Pipe Corp,1
Rockcheck Steel Group Co Ltd,1
Tonghua Iron & Steel Co Ltd,1
Tongling Fuxin Iron & Steel Co Ltd,1
Tongling City Xuanli Special Steel Co Ltd,1
Weifang SPECIAL Steel Group Co Ltd,1
Honghe Iron and Steel Co Ltd,1
WISCO Group Kunming Steel Co Ltd,1
Wugang Zhongjia Iron & Steel Co Ltd,1
Wuhai Baogang Wanteng Iron and Steel Co Ltd,1
Wuhan Iron and Steel Co Ltd,1
Wuhan Shunle Stainless Steel Co Ltd,1
Wuhu Fuxin Iron & Steel Co Ltd,1
Wuhu Xinxing Ductile Iron Pipes Co Ltd,1
Wulanhot Iron & Steel Co Ltd,1
Wuxi Xinsanzhou Special Steel Co Ltd,1
Wuyang Iron and Steel Co Ltd,1
Wuzhou Yongda Special Steel Co Ltd,1
Xiangfen County XinJinShan Special Steel Co Ltd,1
Xining Special Steel Co Ltd,1
Xinji AOSEN Steel Group Co Ltd,1
Xinjiang Da'an Special Steel Co Ltd,1
Xinjiang Ka Steel Group Co,1
Xinjiang KingTec Steel Co Ltd,1
Xinjiang Kunyu Lron & Steel Co Ltd,1
Xinjiang Minxin Iron and Steel (Group) Minhang Special Steel Co Ltd,1
Xinxing Ductile Iron Pipes Xinjiang Co Ltd,1
Xinjiang Xin'an Special Steel Co Ltd,1
Xinjiang Yili Iron and Steel Co Ltd,1
Xinyu Iron & Steel Corp Ltd,1
Yancheng Lianxin Steel Co Ltd,1
Yangchun New Iron & Steel Co Ltd,1
Yangzhou Hengrun Ocean Heavy Industry Co Ltd,1
Yangzhou Qinyou Special Metal Materials Co Ltd,1
